p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	specificity
1.24067216364313e-32	0.360070893329823	0.221	0.029	4.00551008032183e-28	82	Dgkk	2.13272759895357
4.78394568841122e-26	0.862691099612472	0.823	0.328	1.54449686550356e-21	82	Grin2b	2.12609966265441
2.13517936448464e-26	1.04579169939865	0.982	0.478	6.89342657823865e-22	82	Fgf14	2.1258716512366
6.74859401641712e-30	0.557162674776982	0.451	0.111	2.17878357820027e-25	82	Ar	2.12274374439826
8.83886929512885e-30	0.887359630241713	0.903	0.372	2.85362895193235e-25	82	Ftx	2.12083597489708
1.93810082732116e-22	0.720354391961568	0.602	0.198	6.25715852100638e-18	82	Tafa2	2.11950426865615
1.33768379222618e-28	0.914679165856673	0.965	0.411	4.31871212320223e-24	82	Dpp6	2.11831873327852
1.91807519031988e-29	0.646675151085417	0.54	0.158	6.19250575194773e-25	82	Dcx	2.1170912684344
5.07404926720232e-30	0.581184871454654	0.478	0.124	1.63815680591627e-25	82	Zkscan16	2.11655386022292
9.37033778824537e-30	0.731778523559543	0.726	0.245	3.02521355493502e-25	82	Khdrbs3	2.11211369937186
1.641341749697e-28	0.760298597937002	0.699	0.246	5.29907183889678e-24	82	Ankrd24	2.10567072631771
4.08843893027152e-32	0.699286996712587	0.735	0.239	1.31995250863816e-27	82	Ank1	2.09224422711196
4.15132160322827e-31	0.475663373572471	0.381	0.079	1.34025417960225e-26	82	Sez6	2.08971212434647
2.84670678791742e-23	0.417923456687485	0.195	0.031	9.19059286479139e-19	82	Gm46102	2.08961728343743
4.76744803904548e-26	0.528463491293189	0.372	0.087	1.53917059940583e-21	82	Stac2	2.08116550179379
5.16961982308756e-31	0.61747175036137	0.584	0.167	1.66901175988382e-26	82	Gprasp2	2.07219333172121
